"","countyname","countyfips","ethfraccnty","state"
"1","Alameda","06001",0.713993274691557,"CA"
"2","Alpine","06003",0.522408925193936,"CA"
"3","Amador","06005",0.235258957202658,"CA"
"4","Contra Costa","06013",0.623884937521551,"CA"
"5","Fresno","06019",0.550064177124715,"CA"
"6","Humboldt","06023",0.348924010069502,"CA"
"7","Lake","06033",0.386639977855817,"CA"
"8","Los Angeles","06037",0.662586807759884,"CA"
"9","Merced","06047",0.590530691986612,"CA"
"10","Nevada","06057",0.144254882571753,"CA"
"11","San Mateo","06081",0.643989944501319,"CA"
"12","Santa Clara","06085",0.654054844396996,"CA"
"13","Yuba","06115",0.427690597781679,"CA"
"14","Stevens","53065",0.207114005196875,"WA"
"15","Clackamas","41005",0.221210769192136,"OR"
"16","Gilliam","41021",0.133520721961344,"OR"
"17","Josephine","41033",0.150881257513427,"OR"
"18","Klamath","41035",0.221703490692245,"OR"
"19","Lane","41039",0.23866383516768,"OR"
"20","Linn","41043",0.17972224827774,"OR"
"21","Multnomah","41051",0.382548731288034,"OR"
"22","Sherman","41055",0.088277869974088,"OR"
"23","Union","41061",0.151161798683826,"OR"
"24","Benton","53005",0.323822701282487,"WA"
"25","Chelan","53007",0.263343069158161,"WA"
"26","Clallam","53009",0.221202172375068,"WA"
"27","Cowlitz","53015",0.197906769726396,"WA"
"28","Grant","53025",0.45253387650427,"WA"
"29","Jefferson","53031",0.163961454695943,"WA"
"30","Kittitas","53037",0.21167873253145,"WA"
"31","Lincoln","53043",0.117274560453525,"WA"
"32","Mendocino","06045",0.29377625319463,"CA"
"33","Mono","06051",0.275260624722838,"CA"
"34","Napa","06055",0.443120689038021,"CA"
"35","Orange","06059",0.563800271408004,"CA"
"36","San Benito","06069",0.313623489718489,"CA"
"37","San Diego","06073",0.476909457330061,"CA"
"38","San Luis Obispo","06079",0.255527597818681,"CA"
"39","Santa Barbara","06083",0.384553471152382,"CA"
"40","Sonoma","06097",0.41785093481201,"CA"
"41","Sutter","06101",0.484556917080473,"CA"
"42","Tulare","06107",0.393418139591615,"CA"
"43","Yolo","06113",0.509476944455757,"CA"
"44","Okanogan","53047",0.442909814608198,"WA"
"45","Pacific","53049",0.212943970501776,"WA"
"46","Pierce","53053",0.444646032089092,"WA"
"47","Snohomish","53061",0.40094891748134,"WA"
"48","Walla Walla","53071",0.280682471532022,"WA"
"49","Whatcom","53073",0.29007692233363,"WA"
"50","Clatsop","41007",0.165612884112209,"OR"
"51","Deschutes","41017",0.124723609002947,"OR"
"52","Douglas","41019",0.142141125728623,"OR"
"53","Wasco","41065",0.234997860159787,"OR"
"54","Yakima","53077",0.371454625955939,"WA"
"55","Madera","06039",0.448276210160848,"CA"
"56","Calaveras","06009",0.161280498147492,"CA"
"57","Grant","41023",0.102616839235694,"OR"
"58","Mariposa","06043",0.208175052559454,"CA"
"59","Solano","06095",0.664785133941481,"CA"
"60","Curry","41015",0.173189623273831,"OR"
"61","Clark","53011",0.280658670259554,"WA"
"62","Mason","53045",0.295934309813052,"WA"
"63","Plumas","06063",0.20392687998337,"CA"
"64","Grays Harbor","53027",0.221276256134126,"WA"
"65","Siskiyou","06093",0.272603170195612,"CA"
"66","Jefferson","41031",0.460305291137988,"OR"
"67","Marion","41047",0.33277033741253,"OR"
"68","Inyo","06027",0.336776893496436,"CA"
"69","Monterey","06053",0.569740999184157,"CA"
"70","Stanislaus","06099",0.409367529320475,"CA"
"71","King","53033",0.53924707826391,"WA"
"72","Skagit","53057",0.314698240660608,"WA"
"73","Sierra","06091",0.027030949690736,"CA"
"74","Ferry","53019",0.397779690268496,"WA"
"75","Whitman","53075",0.308015783013255,"WA"
"76","Shasta","06089",0.238963344181717,"CA"
"77","Thurston","53067",0.323600910714574,"WA"
"78","Benton","41003",0.259510282083066,"OR"
"79","Colusa","06011",0.224445631055351,"CA"
"80","Franklin","53021",0.462257605561276,"WA"
"81","San Juan","53055",0.151222740939574,"WA"
"82","Marin","06041",0.376233677546281,"CA"
"83","San Joaquin","06077",0.634612896015571,"CA"
"84","Kings","06031",0.529741602051437,"CA"
"85","Lassen","06035",0.312761847384262,"CA"
"86","San Francisco","06075",0.652902422481854,"CA"
"87","Glenn","06021",0.303307903307052,"CA"
"88","Imperial","06025",0.515197600540824,"CA"
"89","Placer","06061",0.310275077845039,"CA"
"90","Tuolumne","06109",0.230725718381369,"CA"
"91","Pend Oreille","53051",0.189477729393228,"WA"
"92","Skamania","53059",0.135269003232008,"WA"
"93","Harney","41025",0.169623970484334,"OR"
"94","Coos","41011",0.216222764225156,"OR"
"95","Hood River","41027",0.243772172989237,"OR"
"96","Morrow","41049",0.210625609092656,"OR"
"97","Umatilla","41059",0.263652891309159,"OR"
"98","Ventura","06111",0.346325127462906,"CA"
"99","Tehama","06103",0.264880872796513,"CA"
"100","Columbia","53013",0.165535721793121,"WA"
"101","Island","53029",0.27609659257829,"WA"
"102","Kitsap","53035",0.331214710422713,"WA"
"103","Lewis","53041",0.175358311343513,"WA"
"104","Baker","41001",0.135263461972984,"OR"
"105","Malheur","41045",0.203414476835989,"OR"
"106","Klickitat","53039",0.157709549636529,"WA"
"107","Adams","53001",0.462663299726087,"WA"
"108","Spokane","53063",0.219747897693997,"WA"
"109","Columbia","41009",0.136491132639067,"OR"
"110","Tillamook","41057",0.142834998624973,"OR"
"111","Modoc","06049",0.187204626526158,"CA"
"112","Santa Cruz","06087",0.398797001228806,"CA"
"113","Lake","41037",0.168588382529258,"OR"
"114","Garfield","53023",0.155400454816003,"WA"
"115","Jackson","41029",0.16319755385068,"OR"
"116","Lincoln","41041",0.218555364375046,"OR"
"117","Asotin","53003",0.136818225302049,"WA"
"118","Polk","41053",0.22281122049783,"OR"
"119","Trinity","06105",0.246433238975388,"CA"
"120","Wallowa","41063",0.0955572442706337,"OR"
"121","Yamhill","41071",0.216487740273025,"OR"
"122","Wahkiakum","53069",0.151365524902066,"WA"
"123","Crook","41013",0.137511424709533,"OR"
"124","Kern","06029",0.418968552559463,"CA"
"125","San Bernardino","06071",0.581172744845347,"CA"
"126","El Dorado","06017",0.222217853334523,"CA"
"127","Sacramento","06067",0.618502231560812,"CA"
"128","Butte","06007",0.320191150735358,"CA"
"129","Wheeler","41069",0.116997692620911,"OR"
"130","Del Norte","06015",0.403364067399506,"CA"
"131","Washington","41067",0.403805941818316,"OR"
"132","Douglas","53017",0.449718833957946,"WA"
"133","Riverside","06065",0.576315473298435,"CA"
