"","ResponseId","n1","n2","n3","n6"
"1","R_0iIX3koGYFXcS1H",2,0,3,3
"2","R_12SifeO1bOjAxUQ",2,0,3,3
"3","R_1BPAlMmqaov9CsH",0,2,3,3
"4","R_1dElv5EY979hqHe",2,0,3,3
"5","R_1f2UEhdjcSLZyao",0,2,3,3
"6","R_1K7105D4dpMgPyQ",0,2,3,3
"7","R_1pMzV5Q4vu5Fb1E",2,2,0,3
"8","R_24pHz8nFHqlKXXF",2,0,3,3
"9","R_2PzHfTakDEWv4UT",0,2,3,3
"10","R_2qgAyAcw4IzsPVU",0,2,3,3
"11","R_2THspomuxp0OGnX",2,2,0,3
"12","R_2TLBXNdRdrFxszr",0,0,3,3
"13","R_2UWrCWyp4ZjgbpH",2,2,3,0
"14","R_2ysjbBvVQkN4cyl",2,0,3,3
"15","R_3DbUrUuOknXuct0",0,2,3,3
"16","R_3dKcHWyUgDagj8C",2,0,3,3
"17","R_3fTdxyYlZa9nyVS",2,0,3,3
"18","R_3GfUGppjNXBGGQ2",0,0,3,3
"19","R_3inj3J6P2ZEZOuy",2,0,3,3
"20","R_3JokCkbHkyvZyM1",2,0,3,3
"21","R_3n1TzSw2OQjMr2r",2,2,0,3
"22","R_3oGuNgEgbOgY79I",0,2,3,3
"23","R_3p5qqHUfXP0bEWs",2,0,3,3
"24","R_9nnHj54IHDwcKlz",0,2,3,3
"25","R_9RF3sQgZIKdOn8B",0,2,3,3
"26","R_AoH9ZAZ4fPvvfwt",0,2,3,3
"27","R_bkLnj42cUiLZcuR",2,0,3,3
"28","R_elcvAzdqU15QCpX",0,0,3,3
"29","R_psfvF9D1wld4vux",0,2,3,3
"30","R_pzpJ8qYPJtX9DlT",2,2,3,0
"31","R_QcDiCQPP5i07GLv",0,2,3,3
"32","R_vMpAfa8DT7tvwMp",0,2,3,3
"33","R_Xt6SlBJX0XTgvRf",0,2,3,3
